Section 1 Header,Timestamp,Species,Location Header,GMU,County,District,Area,Region,Same Address,Incident Header,Incident Date,Incident Time,Complaint Type,Type of Property Damage,Service Provided,Hazing Method,Animal Data,Previous Ear Tag?,Ear Tag Side,Ear Tag Color,Ear Tag Number,Previous PIT tag #,Previous Collar,Sex,Age,Color,Further Response,Staff Assigned,Site Inspection Heading,Violation,Violation Action,Citation #,Marked Animal Heading,Capture Method,New Ear Tag Color,New Ear Tag Number,New PIT Tag (Dec),New Collar,Collar Manufacturer,Collar Type,Collar Frequency,Collar Code,Collar Serial #,Release Header,Release Date,Release Location,Seal #,Photos?,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Comments,Total Incidents
Bear/Lion Incident Report,7/14/2020 16:47,Black Bear,Incident Location,20,Larimer,124 - Estes Park,Area 02,NE,,Incident Information,7/12/2020,5:30:00 AM,Food Source Property Damage,"Trash , Beehives",No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/23/2020 10:03,Black Bear,Incident Location,131,Routt,493 - Steamboat S,Area 10,NW,Y,Incident Information,7/22/2020,10:03:00 PM,Food Source Property Damage,Trash,"Advice/Phone Call , Site Inspection",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"RP states big bear has gotten into ""bear proof"" dumpster 6x this summer.  Bear comes around 10-11 pm. Has broken hinge on dumpster. WL499 will do site inspection and give suggestions.",
Bear/Lion Incident Report,8/31/2020 8:47,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,Y,Incident Information,8/30/2020,3:44:00 AM,"Food Source Property Damage , Sighting",Trash,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/20/2020 8:59,Black Bear,Incident Location,28,Grand,483 - Granby,Area 09,NW,N,Incident Information,7/20/2020,12:10:00 AM,Food Source Property Damage,Trash,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/3/2020 12:00,Black Bear,Incident Location,38,Jefferson,545 - Westminster,Area 05,NE,N,Incident Information,9/2/2020,10:41:00 PM,"Food Source Property Damage , Sighting",Trash,"Advice/Phone Call , Site Inspection , Hazed",Noise,Y,Y,Left,Green,,,,Male,Adult,Brown,N,,Site Inspection,,,,,,,,,,,,,,,,,,,N,,,,,,"No further response as of now.

WL541 received a report from the RP that a large dark brown colored bear with a green ear tag in the left ear was in Tucker Gulch around 7:00pm.  It matched the description of the bear that had been hanging around Tucker Gulch and hitting trash cans within the neighborhood since last week.   
WL545, WL546 and WL541 responded to try to haze the bear.   

The bear was trees in this vicinity but ran off before it could be hazed. The bear was followed around Golden and hazed with noise and lights until it crossed over Highway 58 and was lost in the vegetation surrounding Clear Creek.",
Bear/Lion Incident Report,7/20/2020 8:49,Black Bear,Incident Location,110,El Paso,284 - C Spgs NW,Area 14,SE,Y,Incident Information,7/18/2020,10:37:00 AM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/16/2020 17:28,Black Bear,Incident Location,22,Rio Blanco,423 - Meeker W,Area 06,NW,N,Incident Information,6/6/2020,5:28:00 AM,Food Source Property Damage,Livestock,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/5/2020 20:08,Black Bear,Incident Location,851,Las Animas,226 - Trinidad W,Area 11,SE,Y,Incident Information,8/5/2020,8:08:00 PM,Non-Food Property Damage,,"Advice/Phone Call , Site Inspection , Pyrotechnics",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"Bear ripped screen on kitchen door, fortunately did not enter. Site inspection discuss open windows, attractants. Recommend bars on windows electric fencing. Provide bottle of Counterassault with verbal instructions on use/safety.",
Bear/Lion Incident Report,9/21/2020 9:16,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,,Incident Information,9/21/2020,9:16:00 AM,Sighting,,"No Action , Advice/Phone Call",,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,5/20/2020 9:32,Black Bear,Incident Location,29,Boulder,127 - Boulder N,Area 02,NE,Y,Incident Information,5/20/2020,9:00:00 AM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmNiMjg5M2ZlLlBob3RvJTIwMS4xNjA1NDcuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWEzOTYyMWFhNjAzZWMwNjM4YzBhMTZmMDI1ZDU5NWQxNTNjNjFmYzRjZTBhMWZkMGRlYzZlZmIyMGU4NWMyNDg2OTlhYmJiYzNiMDdiYjg4NmUzYjAwMGQ5Y2E5NTkwNw==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmNiMjg5M2ZlLlBob3RvJTIwMi4xNjA1NDcuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTVmNjcxMWY3YTdiMzcxZGY3YmIxMDA0NDNiZjY0NmY1ZWNjYWIwZjMyMWYwZTE5ZTMzMDEzMTYxYWY2OGU1MWYxNGZhMWI2MjBjZjkzNzVkZDQwOTQzY2U4Y2NhMmVmOA==&w=600,,,,,
